Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Lamusi A,People's Republic of China,23,170.0,60.0,M,6/2/1989,NEIMONGGOL (CHN),0,0,0,0,Judo,Men's -60kg
A G Kruger,United States of America,33,193.0,125.0,M,2/18/1979,Sheldon (USA),0,0,0,0,Athletics,Men's Hammer Throw
Jamale Aarrass,France,30,187.0,76.0,M,11/15/1981,BEZONS (FRA),0,0,0,0,Athletics,Men's 1500m
Maria Abakumova,Russian Federation,26,178.0,85.0,F,1/15/1986,STAVROPOL REGION (RUS),0,0,0,0,Athletics,Women's Javelin Throw
Emanuele Abate,Italy,27,190.0,80.0,M,7/8/1985,Genova (ITA),0,0,0,0,Athletics,Men's 110m Hurdles
Simona Abbate,Italy,28,171.0,64.0,F,8/22/1983,FONDI (ITA),0,0,0,0,Water Polo,Women's Water Polo
Mohamed Abdel Baki,Egypt,25,162.0,69.0,M,7/18/1987,FAYOUM,0,0,0,0,Weightlifting,Men's 69kg
Tarek Abdelazim,Egypt,25,175.0,85.0,M,5/18/1987,ELMENIA,0,0,0,0,Weightlifting,Men's 85kg
Youcef Abdi,Australia,34,177.0,66.0,M,12/7/1977,AZAZGA (ALG),0,0,0,0,Athletics,Men's 3000m Steeplechase
Abdihakem Abdirahman,United States of America,35,180.0,61.0,M,1/1/1977,HARGISA (SOM),0,0,0,0,Athletics,Men's Marathon
Dana Abdul Razak,Iraq,26,165.0,55.0,F,1/3/1986,BAGHDAD (IRQ),0,0,0,0,Athletics,Women's 100m
Layes Abdullayeva,Azerbaijan,21,170.0,47.0,F,5/29/1991,Addis Ababa (ETH),0,0,0,0,Athletics,Women's 5000m
Yusup Abdusalomov,Tajikistan,34,173.0,84.0,M,11/8/1977,MAKHACHKALA (RUS),0,0,0,0,Wrestling,Men's 84kg Freestyle
Saeid Morad Abdvali,Islamic Republic of Iran,22,170.0,66.0,M,11/4/1989,ANDIMESHK (IRI),0,0,0,0,Wrestling,Men's 66kg Greco-Roman
Jennifer Abel,Canada,20,160.0,62.0,F,8/23/1991,Montreal (CAN),0,0,1,1,Diving,"Women's 3m Springboard, Women's Synchronised 3m Springboard"
Pablo Abian,Spain,27,177.0,78.0,M,6/12/1985,CALATAYUD,0,0,0,0,Badminton,Men's Singles
Tomomi Abiko,Japan,24,173.0,53.0,F,3/17/1988,KUSATSU (JPN),0,0,0,0,Athletics,Women's Pole Vault
Endurance Abinuwa,Nigeria,25,159.0,54.0,F,7/31/1987,Sapele (NGR),0,0,0,0,Athletics,Women's 4 x 400m Relay
Khalil Mahmoud K Abir Abdelrahman,Egypt,20,162.0,75.0,F,6/13/1992,Alexandria,0,0,0,0,Weightlifting,Women's 75kg
Bukola Abogunloko,Nigeria,17,170.0,53.0,F,8/18/1994,IJERO,0,0,0,0,Athletics,Women's 4 x 400m Relay
Aminata Aboubakar Yacoub,Congo,23,166.0,68.0,F,6/22/1989,EPENA (CGO),0,0,0,0,Swimming,Women's 50m Freestyle
Rabah Aboud,Algeria,31,180.0,64.0,M,1/1/1981,TISSEMSILT (ALG),0,0,0,0,Athletics,Men's 5000m
Abouhalima Abouhalima,Egypt,18,153.0,55.0,M,11/19/1993,ALEX (EGY),0,0,0,0,Wrestling,Men's 55kg Greco-Roman
Arnaldo Abrantes,Portugal,25,184.0,78.0,M,11/27/1986,ALMADA (POR),0,0,0,0,Athletics,Men's 200m
Erika Abril,Colombia,34,158.0,47.0,F,3/29/1978,SAN JOSE DE PARE (COL),0,0,0,0,Athletics,Women's Marathon
Laura Valentina Abril Restrepo,Colombia,22,162.0,50.0,F,1/28/1990,LA CUMBRE (COL),0,0,0,0,Cycling - Mountain Bike,Women's Cross-country
Julien Absalon,France,31,180.0,68.0,M,8/16/1980,Remiremont (FRA),0,0,0,0,Cycling - Mountain Bike,Men's Cross-country
Ayele Abshero,Ethiopia,21,168.0,62.0,M,12/28/1990,YEBOBA (ETH),0,0,0,0,Athletics,Men's Marathon
Methkal Abu Drais,Jordan,28,168.0,62.0,M,12/29/1983,ALARDAH (JOR),0,0,0,0,Athletics,Men's Marathon
Maher Abu Rmilah,Palestine,28,172.0,72.0,M,8/24/1983,Jerusalem (PLE),0,0,0,0,Judo,Men's -73kg
Irina Abysova,Russian Federation,31,175.0,58.0,F,11/7/1980,Moscow (RUS),0,0,0,0,Triathlon,Women's Triathlon
Georgios Achilleos,Cyprus,31,172.0,80.0,M,12/24/1980,London (GBR),0,0,0,0,Shooting,Men's Skeet
Janet Achola,Uganda,24,167.0,52.0,F,6/26/1988,LIRA (UGA),0,0,0,0,Athletics,Women's 1500m
Haikel Achouri,Tunisia,27,184.0,84.0,M,8/29/1984,Tunis (TUN),0,0,0,0,Wrestling,Men's 84kg Greco-Roman
Luz Mercedes Acosta Valdez,Mexico,31,166.0,63.0,F,12/22/1980,Sonora,0,0,0,0,Weightlifting,Women's 63kg
Amy Acuff,United States of America,37,188.0,66.0,F,7/14/1975,Port Arthur (USA),0,0,0,0,Athletics,Women's High Jump
Crox Acuna Rodriguez,Venezuela,22,192.0,89.0,M,6/23/1990,Maracay (VEN),0,0,0,0,Swimming,Men's 4x100m Freestyle Relay
Mariko Adachi,Japan,29,162.0,51.0,F,7/21/1983,HIRAKATA (JPN),0,0,0,0,Triathlon,Women's Triathlon
Idrissa Adam,Cameroon,27,178.0,79.0,M,12/28/1984,GAROUA (CMR),0,0,0,0,Athletics,Men's 100m
Tomasz Adamiec,Poland,30,171.0,73.0,M,4/13/1982,HAJNOWKA (POL),0,0,0,0,Judo,Men's -73kg
Antoine Adams,Saint Kitts and Nevis,23,180.0,79.0,M,8/31/1988,Basseterre (SKN),0,0,0,0,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay"
Cammile Adams,United States of America,20,173.0,65.0,F,9/11/1991,Houston (USA),0,0,0,0,Swimming,Women's 200m Butterfly
Luke Adams,Australia,35,189.0,70.0,M,10/22/1976,MVUMI (TAN),0,0,0,0,Athletics,Men's 50km Race Walk
Lyukman Adams,Russian Federation,23,194.0,87.0,M,9/24/1988,Leningrad (RUS),0,0,0,0,Athletics,Men's Triple Jump
Valerie Adams,New Zealand,27,193.0,120.0,F,10/6/1984,Rotorua (NZL),0,0,0,0,Athletics,Women's Shot Put
Jakub Adamski,Poland,24,183.0,75.0,M,11/11/1987,GORZOW WIELKOPOLSKI (POL),0,0,0,0,Athletics,Men's 4 x 100m Relay
Chris Adcock,Great Britain,23,183.0,80.0,M,4/27/1989,Leicester,0,0,0,0,Badminton,Mixed Doubles
Jangy Addy,Liberia,27,188.0,88.0,M,2/3/1985,Monrovia (LBR),0,0,0,0,Athletics,Men's Decathlon
