Age,"Height, cm",Weight,Place of birth,Gold,Silver,Bronze,Total,Sport,Sex_F,Sex_M
23,170.0,60.0,37,0,0,0,0,1,0,1
33,193.0,125.0,186,0,0,0,0,2,0,1
30,187.0,76.0,62,0,0,0,0,2,0,1
26,178.0,85.0,151,0,0,0,0,2,1,0
27,190.0,80.0,89,0,0,0,0,2,0,1
28,171.0,64.0,89,0,0,0,0,3,1,0
34,177.0,66.0,3,0,0,0,0,2,0,1
35,180.0,61.0,161,0,0,0,0,2,0,1
26,165.0,55.0,85,0,0,0,0,2,1,0
21,170.0,47.0,59,0,0,0,0,2,1,0
34,173.0,84.0,151,0,0,0,0,4,0,1
22,170.0,66.0,83,0,0,0,0,4,0,1
20,160.0,62.0,32,0,0,1,1,5,1,0
24,173.0,53.0,92,0,0,0,0,2,1,0
25,159.0,54.0,131,0,0,0,0,2,1,0
23,166.0,68.0,34,0,0,0,0,6,1,0
31,180.0,64.0,3,0,0,0,0,2,0,1
18,153.0,55.0,54,0,0,0,0,4,0,1
25,184.0,78.0,145,0,0,0,0,2,0,1
34,158.0,47.0,42,0,0,0,0,2,1,0
22,162.0,50.0,42,0,0,0,0,7,1,0
31,180.0,68.0,62,0,0,0,0,7,0,1
21,168.0,62.0,59,0,0,0,0,2,0,1
28,168.0,62.0,91,0,0,0,0,2,0,1
28,172.0,72.0,141,0,0,0,0,1,0,1
31,175.0,58.0,151,0,0,0,0,8,1,0
31,172.0,80.0,66,0,0,0,0,9,0,1
24,167.0,52.0,183,0,0,0,0,2,1,0
27,184.0,84.0,179,0,0,0,0,4,0,1
37,188.0,66.0,186,0,0,0,0,2,1,0
22,192.0,89.0,189,0,0,0,0,6,0,1
29,162.0,51.0,92,0,0,0,0,8,1,0
27,178.0,79.0,39,0,0,0,0,2,0,1
30,171.0,73.0,144,0,0,0,0,1,0,1
23,180.0,79.0,157,0,0,0,0,2,0,1
20,173.0,65.0,186,0,0,0,0,6,1,0
35,189.0,70.0,171,0,0,0,0,2,0,1
23,194.0,87.0,151,0,0,0,0,2,0,1
27,193.0,120.0,135,0,0,0,0,2,1,0
24,183.0,75.0,144,0,0,0,0,2,0,1
27,188.0,88.0,103,0,0,0,0,2,0,1
18,168.0,58.0,55,0,0,0,0,2,0,1
27,162.0,65.0,131,0,0,0,0,2,1,0
25,153.0,52.0,186,0,0,0,0,2,1,0
23,179.0,70.0,66,0,0,1,1,6,1,0
23,201.0,102.0,186,1,1,0,2,6,0,1
19,190.0,84.0,18,0,0,0,0,6,0,1
28,182.0,64.0,18,0,0,0,0,2,1,0
28,188.0,88.0,72,0,0,0,0,3,0,1
35,194.0,103.0,72,0,0,0,0,3,0,1
28,175.0,75.0,149,0,0,0,0,6,0,1
33,171.0,61.0,150,0,0,0,0,10,1,0
20,202.0,90.0,62,2,1,0,3,6,0,1
21,178.0,76.0,72,0,0,0,0,11,1,0
21,178.0,78.0,26,0,0,1,1,1,1,0
27,194.0,80.0,189,0,0,0,0,2,0,1
34,165.0,50.0,57,0,0,0,0,2,1,0
28,189.0,82.0,57,0,0,0,0,3,0,1
19,174.0,66.0,138,0,0,0,0,12,0,1
37,192.0,88.0,70,0,0,0,0,13,0,1
30,160.0,58.0,83,0,0,0,0,9,1,0
25,170.0,74.0,13,0,0,0,0,4,0,1
23,172.0,66.0,54,0,0,0,0,4,0,1
23,169.0,65.0,115,0,0,0,0,2,0,1
21,190.0,60.0,161,0,0,0,0,2,0,1
21,178.0,71.0,19,0,0,0,0,2,1,0
24,170.0,57.0,38,0,0,0,0,2,1,0
31,170.0,60.0,127,0,0,0,0,9,1,0
24,188.0,80.0,58,0,0,0,0,11,0,1
20,160.0,64.0,178,0,0,0,0,2,1,0
26,192.0,104.0,89,0,0,0,0,3,0,1
29,177.0,61.0,108,0,0,0,0,2,1,0
23,183.0,80.0,70,0,0,1,1,14,0,1
35,183.0,90.0,66,0,0,0,0,11,0,1
33,167.0,50.0,3,0,0,0,0,2,1,0
29,178.0,59.0,93,0,0,0,0,2,1,0
24,178.0,67.0,180,0,0,0,0,15,0,1
21,192.0,120.0,180,0,0,0,0,4,0,1
27,179.0,84.0,83,0,0,0,0,4,0,1
25,166.0,56.0,129,0,0,0,0,2,1,0
24,191.0,79.0,32,0,0,0,0,16,1,0
23,183.0,79.0,66,0,0,0,0,14,0,1
27,178.0,105.0,151,0,0,0,0,17,0,1
24,160.0,49.0,111,0,0,0,0,2,1,0
32,165.0,78.0,85,0,0,0,0,2,0,1
21,180.0,78.0,179,0,0,0,0,11,0,1
27,155.0,51.0,92,0,0,0,0,10,1,0
21,160.0,74.0,131,0,0,0,0,2,0,1
21,175.0,65.0,141,0,0,0,0,2,0,1
20,166.0,69.0,148,0,0,0,0,9,1,0
27,170.0,70.0,136,0,0,0,0,9,0,1
31,180.0,104.0,148,0,0,0,0,9,0,1
41,178.0,70.0,148,0,0,1,1,9,0,1
30,187.0,65.0,99,0,0,0,0,2,0,1
15,173.0,65.0,85,0,0,0,0,6,0,1
23,191.0,96.0,54,0,0,0,0,2,0,1
18,175.0,65.0,191,0,0,0,0,2,0,1
20,170.0,55.0,111,0,0,0,0,2,0,1
19,162.0,60.0,136,0,0,0,0,2,1,0
24,171.0,67.0,136,0,0,0,0,2,0,1
17,155.0,43.0,148,0,0,0,0,2,1,0
21,170.0,65.0,136,0,0,0,0,2,0,1
28,195.0,110.0,81,0,0,0,0,2,0,1
26,164.0,55.0,57,0,0,0,0,11,1,0
16,182.0,71.0,66,0,0,0,0,2,1,0
22,178.0,57.0,59,0,0,0,0,2,0,1
28,158.0,42.0,111,0,0,0,0,2,1,0
18,175.0,65.0,99,0,0,0,0,6,0,1
23,166.0,55.0,188,0,0,0,0,2,1,0
